len_panic,repo,commit,root_cause,symptom,code_add,code_remove,platform_related,error_handling,propagation_chain_1,propagation_chain_2,count
-3,rust-analyzer,5bdae829,11,3,63,16,0,1,safe,safe,1
-2,meilisearch,dc3d9c90,11,3,65,4,0,0,safe,safe,1
-2,rust-analyzer,cbd14e98,11,3,9,10,0,0,safe,safe,1
-2,tikv,82613ae9,11,3,16,8,0,0,safe,safe,1
-1,tokio,a7e7eca8,11,3,58,1,0,1,safe,safe,1
-1,tokio,0826f763,11,3,1,17,0,0,safe,safe,1
-1,egui,1e885abe,11,3,38,7,0,1,safe,safe,1
-1,meilisearch,58cd5d2,11,3,9,9,0,0,safe,safe,1
-1,meilisearch,7691b0d,11,3,14,24,0,1,safe,safe,1
-1,rust,50a66b75,11,3,54,18,1,0,safe,safe,1
-1,rust-analyzer,5fe366c6,11,3,28,0,0,1,safe,safe,1
-1,snarkOS,89ec44e8,11,3,27,14,0,1,safe,safe,1
-1,snarkOS,f7f0d120,11,3,4,5,0,0,safe,safe,1
-1,snarkOS,issue-1973,11,3,4,8,0,1,safe,safe,1
-1,tikv,26e099c9,11,3,7,1,0,1,safe,safe,1
-1,tikv,404c777e,11,3,37,11,0,1,safe,safe,1
-1,tikv,456075a2,11,3,57,46,0,1,safe,safe,1
-1,tikv,62d77776,11,3,1,1,0,1,safe,safe,1
-1,tikv,65ad2a52,11,3,82,9,0,1,safe,safe,1
-1,tikv,6ea9c3af,11,3,17,11,0,1,safe,safe,1
-1,tikv,869b953e,11,3,2,2,0,1,safe,safe,1
-1,tikv,94ddf51b,11,3,4,1,0,1,safe,safe,1
-1,tikv,abb672b8,11,3,132,10,0,1,safe,safe,1
-1,tikv,c5e8704c,11,3,15,4,0,1,safe,safe,1
-1,tikv,dcbeb16f,11,5,8,3,0,0,safe,safe,1
0,egui,8eb687cf,11,3,240,39,0,1,unsafe,unsafe,1
0,tikv,89694308,11,3,4,0,0,0,safe,safe,1
0,egui,c8dd5d1b,11,3,52,37,0,1,unsafe,safe,1
1,rust-analyzer,093de32f,11,3,38,1,0,1,safe,safe,1
1,rust-analyzer,dd673eea,11,3,30,15,0,1,safe,safe,1
1,tikv,c514eb5e,11,3,32,6,0,1,safe,safe,1
2,tikv,209a7010,11,3,21,30,0,0,safe,safe,1
3,egui,4629f2cd,11,3,1,1,0,0,safe,safe,1
3,rust-analyzer,117f9b77,11,3,55,57,0,1,safe,safe,1
3,rust-analyzer,1a318965,11,3,38,2,0,0,safe,safe,1
3,rust-analyzer,85493dfd,11,3,21,0,0,0,safe,safe,1
3,rust-analyzer,fdc28b43,11,3,49,9,0,1,safe,safe,1
3,tikv,005efd56,11,3,47,23,0,1,safe,safe,1
3,tikv,103f5ff4,11,3,16,5,0,1,safe,safe,1
3,tikv,11f571d0,11,3,151,105,0,0,safe,safe,1
3,tikv,4b328ed5,11,3,134,31,0,1,safe,safe,1
3,tikv,69dba51a,11,3,112,12,0,1,safe,safe,1
3,tikv,6c7f6ecf,11,3,6,4,0,0,safe,safe,1
3,tikv,79170c4f,11,3,16,3,0,1,safe,safe,1
3,tikv,8b096490,11,3,45,21,0,1,safe,safe,1
3,tikv,a6d8f53c,11,3,18,24,0,3,safe,safe,1
3,tikv,bea230d9,11,3,7,1,0,1,safe,safe,1
3,tikv,d61228f9,11,3,168,35,0,2,safe,safe,1
3,tokio,70c10bae,11,3,30,14,0,1,safe,safe,1
